"id";"condition";"category";"sector";"text1";"text2";"comment"
"1a-iv-infra";"rule_1a-i-hydro";"High Intensity Precipitation";"Infrastructure";"Possible increased incidence of flooding";"Assess storm water drainage systems (urban, rural and agricultural) with respect to new precipitation loads:<ul><li>Consider impact of Total Impervious Area (TIA) on storm drainage load.</li><li>Assess need for dikes and stormwater retention ponds.</li><li>Re-examine landscape and other development guidelines.</li><li>Assess agricultural drainage network (requires collaboration with landowners local governments FNs).</li></ul>Consider flood adaptation strategies:<ul><li>Managed retreat and abandonment.</li><li>Options for crop production on frequently flooded land.</li><li>Potential loss of arable land.</li></ul>Possible impact on parks:<ul><li>Recreational services may be reduced due to field closures; Parks &amp; Rec may need to change or adjust program schedules.</li><li>Natural area parks with streams &amp; creeks may flood requiring greater local budget to manage storm water.</li><li>Park closures could impact tourist economy.</li></ul>Assess and develop emergency management response plan:<ul><li>Identify key community assets, e.g hospitals and schools that could be vulnerable to flooding.</li></ul>";
"1a-v-bio";"((prec_son_iamean_smean_e25p > 0) || (prec_djf_iamean_smean_e25p > 0) || (prec_mam_iamean_smean_e25p > 0) || (prec_jja_iamean_smean_e25p > 0))";"High Intensity Precipitation";"Biodiversity";"Seasonal moisture availability increases";"<ul><li>Consider effects of seasonal moisture availability increases on habitat.</li></ul>";
"1a-vi-ag";"((((prec_mam_iamean_smean_e25p / 100) * prec_mam_iamean_smean_hist) > prec_mam_iastddev_smean_hist) || (((prec_jja_iamean_smean_e25p / 100) * prec_jja_iamean_smean_hist) > prec_jja_iastddev_smean_hist) || (((prec_son_iamean_smean_e25p / 100) * prec_son_iamean_smean_hist) > prec_son_iastddev_smean_hist))";"High Intensity Precipitation";"Agriculture";"Extreme rainfall events may increase in frequency";"<ul><li>Soil erosion may increase.</li><li>Crops may be damaged.</li></ul>";""
"1a-vi-ag-1";"(((prec_mam_iamean_smean_e25p / 100) * prec_mam_iamean_smean_hist) > prec_mam_iastddev_smean_hist)";"High Intensity Precipitation";"Agriculture";"Extreme rainfall events may increase in frequency";"<ul><li>Pollination and planting may be disrupted.</li></ul>";""
"1a-vi-ag-2";"(((prec_son_iamean_smean_e25p / 100) * prec_son_iamean_smean_hist) > prec_son_iastddev_smean_hist)";"High Intensity Precipitation";"Agriculture";"Extreme rainfall events may increase in frequency";"<ul><li>Harvesting may be disrupted or prevented.</li></ul>";""
"1a-vi-ag-3";"((((prec_mam_iamean_smean_e25p / 100) * prec_mam_iamean_smean_hist) > prec_mam_iastddev_smean_hist) || (((prec_jja_iamean_smean_e25p / 100) * prec_jja_iamean_smean_hist) > prec_jja_iastddev_smean_hist))";"High Intensity Precipitation";"Agriculture";"Extreme rainfall events may increase in frequency";"<ul><li>Nutrient and input leaching may increase.</li></ul>";""
"1b-i-hydro";"(!rule_future-snow && prec_djf_iamean_smean_e25p > 0) || (prec_son_iamean_smean_e25p > 0) || (prec_mam_iamean_smean_e25p > 0)";"Possible Flooding";"Hydrology";"Increased runoff and potential flooding";"<ul><li>Flooding may increase in frequency and magnitude where flooding is already an issue.</li><li>Stormwater design standard may no longer be adequate for new construction.</li><li>Existing drainage infrastructure may need capacity increases or augmenting with retention ponds.</li><li>Seasonal water quality may be reduced.</li><li>Combined sewer overflows may become more frequent.</li><li>Stream bank erosion may increase.</li><li>Increased frequency and intensity of flooding may lead to a reduced level of service for flood protection.</li></ul>";
"1b-ii-ag";"rule_1a-i-hydro";"Possible Flooding";"Agriculture";"Increase in extreme rainfall events";"<ul><li>Review emergency management planning and response in consideration of expected changes and increased variability.</li><li>Consider agricultural impacts in flood management responses.</li></ul>";
"1b-iii-fish";"(( rule_snow || rule_hybrid ) && (pass_djf_iamean_smean_e25p > 0))";"Possible Flooding";"Fisheries";"Possible increase in flow barrier for returning salmon";"Plan for possible increase in incidence of:<ul><li>Spawning failure.</li><li>Forgone harvest.</li><li>Fisheries closures.</li><li>Conflicts among users.</li><li>Species at risk concerns.</li><li>Jurisdictional issues in management response.</li></ul>";
"1b-iv-fish";"(( rule_snow || rule_hybrid ) && (pass_djf_iamean_smean_e25p > 0) && (temp_mam_iamean_smean_e25p > 0 ))";"Possible Flooding";"Fisheries";"Potentially damaging high river flows";"Possible washout of spawning habitat:<ul><li>Habitat damage &mdash; loss of spawning habitat and stream bottom changes.</li><li>Woody debris distribution.</li></ul>";
"1b-v-infra";"(rule_1b-i-hydro && (region_oncoast == 1))";"Possible Flooding";"Infrastructure";"Increased runoff and potential flooding";"<ul><li>For coastal watersheds, sea level rise combined with increased river flows will exacerbate coastal and delta flood risk.</li></ul>";
"1b-vi-infra";"rule_1b-i-hydro";"Possible Flooding";"Infrastructure";"Increased runoff and potential flooding";"<ul><li>Increased risk of stream and river flooding.</li><li>Consider implications for flood hazard management.</li><li>Consider increased strain on dikes and other flood protection infrastructure by more frequent, higher river flows</li><li>Potential for increased sediment accumulation in stream and river beds which reduces channel capacity and can result in impacts on bridge stability.</li><li>Possible that erosion may increase, consider impacts on property and habitat.</li></ul>";
"1b-vii-infra";"rule_1b-iv-fish";"Possible Flooding";"Infrastructure";"Potentially damaging high river flows";"<ul><li>Potential for increased sediment accumulation in stream and river beds.</li><li>Possible that erosion may increase, consider impacts on habitat.</li></ul>";
"1c-i-ag";"(((prec_son_iamean_smean_e25p > 0) && (prec_mam_iamean_smean_e25p > 0)) || rule_1a-i-hydro)";"Waterlogged Soil";"Agriculture";"Possible increase in waterlogged soil";"<ul><li>Consider options for managing excess water on farm. (Regional infrastructure/ditch/drainage coordination may be required to enable on-farm drainage to work.)</li></ul>";
"1c-i-ag-1";"((prec_mam_iamean_smean_e25p > 0) || ((prec_mam_iamean_smean_e25p / 100) * prec_mam_iamean_smean_hist > prec_mam_iastddev_smean_hist))";"Waterlogged Soil";"Agriculture";"Possible increase in waterlogged soil";"<ul><li>Consider adjusting planting schedules.</li><li>Potential negative impacts on pollination success.</li></ul>";
"1c-i-ag-2";"((prec_son_iamean_smean_e25p > 0) || ((prec_son_iamean_smean_e25p / 100) * prec_son_iamean_smean_hist > prec_son_iastddev_smean_hist))";"Waterlogged Soil";"Agriculture";"Possible increase in waterlogged soil";"<ul><li>Consider adjusting harvesting schedules.</li></ul>";
"1c-ii-land";"rule_1c-i-ag";"Waterlogged Soil";"Land Use Planning";"Possible increase in waterlogged soil";"<ul><li>Consider nutrient/input runoff and impacts on water quality.</li><li>Coordinate regional ditch, drainage and diking system to manage possible excess water.</li><li>Assess local land use steep slope soil composition; consider slope hazards.</li><li>Consider additional local studies and geotechnical analysis.</li><li>Consider a risk assessment to understand liability (e.g.: slope failure, falling trees) for local government.</li></ul>";
"1d-i-infra";"rule_1a-i-hydro && (region_oncoast == 1)";"Sea Level Rise / Storm Surge";"Infrastructure";"Sea level rise and possible increase in storm surges";"<ul><li>For coastal watersheds, sea level rise combined with increased river flows will exacerbate coastal / delta flood risk.</li></ul>";
"1d-ii-land";"region_oncoast == 1";"Sea Level Rise / Storm Surge";"Land Use Planning";"Sea level rise and possible increase in storm surges";"<ul><li>May require new design guidelines for Flood Control Levels (FCLs) and infrastructure.</li><li>Increased communication &amp; collaboration between Engineering and Planning departments.</li></ul>";
"1d-iii-ag";"rule_1d-ii-land";"Sea Level Rise / Storm Surge";"Agriculture";"Sea level rise and possible increase in storm surges";"<ul><li>Farmland in coastal / delta areas may be affected.</li></ul>";
"2a-i-hydro";"(rule_future-rain && (prec_jja_iamean_smean_e75p < 0)) || ((rule_future-snow || rule_future-hybrid) && (prec_ann_iamean_smean_e75p < 0) && ((temp_mam_iamean_smean_e25p > 0) || (temp_djf_iamean_smean_e25p > 0)))";"Reduced Water Supply";"Hydrology";"Possible reduced summer stream flow and lower ground water table";"<ul><li>Consider concerns for meeting local water demand.</li><li>May need to assess and increase water storage capacity.</li><li>Possible lower June/July/August/September stream flow.</li><li>Possible longer periods of low flows.</li></ul>";
"2a-ii-hydro";"rule_future-rain && (prec_jja_iamean_smean_e75p < 0) && (temp_jja_iamean_smean_e25p > 0)";"Reduced Water Supply";"Hydrology";"Increased possibility of drought";"<ul><li>Consider increased demand for storage reservoirs</li><li>Consider increase in water conservation/demand management/watering restrictions.</li><li>Consider water metering to evaluate consumption levels.</li></ul>";
"2a-iii-bio";"rule_2a-i-hydro || rule_2a-ii-hydro";"Reduced Water Supply";"Biodiversity";"Increased possibility of drought or increased salinity of wetlands";"<ul><li>May affect groundwater quality.</li></ul>";
"2a-iv-bio";"((prec_son_iamean_smean_e75p < 0) || (prec_djf_iamean_smean_e75p < 0) || (prec_mam_iamean_smean_e75p < 0) || (prec_jja_iamean_smean_e75p < 0))";"Reduced Water Supply";"Biodiversity";"Seasonal moisture availability decreases";"<ul><li>Consider effects on habitat.</li><li>Can be combined with winter/spring runoff indicators to recommend need for irrigation water storage requirements or conservation programs.</li></ul>";
"2a-v-ag";"rule_2a-iv-bio";"Reduced Water Supply";"Agriculture";"Seasonal moisture availability decreases";"<ul><li>Consider options for managing soil moisture, irrigation infrastructure.</li></ul>";
"2a-vi-ag";"rule_2a-iii-bio";"Reduced Water Supply";"Agriculture";"Increased possibility of drought or increased salinity of wetlands";"Drought planning and management required:<ul><li>Consider water quality in standing water sources used by livestock.</li></ul>";
"2a-vii-land";"rule_2a-iii-bio";"Reduced Water Supply";"Land Use Planning";"Increased possibility of drought";"<ul><li>Review drought management plans as defined by the water act modernization project.</li><li>Review landscape development guidelines; water conservation &amp; water restrictions.</li><li>Plan for compact complete communities and adaptive urban design, that mitigate the heat island effect.</li><li>Possible loss of ecosystem goods and services in terms of the provision of drainage cooling, recreation and water supply.</li><li>Fire suppression planning.</li><li>Water supply identification</li></ul>";
"2b-i-hydro";"(rule_snow || rule_hybrid) && (temp_mam_iamean_smean_e25p > 0)";"Longer Dry Season";"Hydrology";"Earlier freshet and extended dry season";"<a target=""_new"" href=""http://pacificclimate.org/sites/default/files/publications/Schnorbus.HydroModelling.FinalReport2.Apr2011.pdf"">Advance of freshet</a>:<ul><li>Possible longer dry period.</li><li>Reduced water supply.</li><li>Increased demand for storage reservoirs.</li><li>Stronger water use restrictions.</li></ul>";
"2b-ii-for";"( ( ((temp_mam_iamean_smean_e25p > 0 && prec_mam_iamean_smean_e75p < 0)?1:0) + ((temp_jja_iamean_smean_e25p > 0 && prec_jja_iamean_smean_e75p < 0)?1:0) + ((temp_son_iamean_smean_e25p > 0 && prec_son_iamean_smean_e75p < 0)?1:0) ) >= 2 )";"Longer Dry Season";"Forestry";"Possible increase in fire season length";"<ul><li>Severity of fires might also increase.</li><li>Evaluate staffing and distribution of forest protection staff and resources.</li></ul>";
"3a-i-for";"(rule_snow || rule_hybrid) && (temp_djf_iamean_smean_e25p  > 0)";"Increase in Temperature";"Forestry";"Shorter access season where winter access requires frozen roads";"<ul><li>length of winter logging season likely to decline.</li><li>Greater stockpiles of logs may be needed to keep mills working during freeze-up/break-up.</li></ul>";
"3a-ii-for";"nffd_jja_iamean_smean_e25p > 0";"Increase in Temperature";"Forestry";"Opportunities for facilitated migration of tree species";"<ul><li>Consider planting more southerly temperate species depending on growing season/frosts in local context.</li><li>Opportunity for facilitated migration of interior Douglas Fir Western Larch to the north; faciliatated expansion of range of southerly temperate species.</li></ul>";
"3a-iii-ag";"(nffd_ann_iamean_smean_e25p >= 0) && (dl18_djf_iamean_smean_e75p < 0)";"Increase in Temperature";"Agriculture";"Warmer and shorter cold season";"<ul><li>May enable longer growing/production seasons for certain commodities.</li><li>Possible reduction in heating costs in cold season.</li></ul>";"WRONG FIXME"
"3a-iv-fish";"rule_snow && (temp_mam_iamean_smean_e25p > 0)";"Increase in Temperature";"Fisheries";"Earlier spring lake ice melt";"<ul><li>Possible decline in lake productivity.</li><li>Possible impact on inland fisheries sport fishing and related tourism industry.</li><li>Salmon (juvenile) smolt migration timing possibly affected.</li></ul>";
"3a-v-infra";"(temp_djf_iastddev_smean_hist + temp_djf_iamean_smean_hist < 0) && (temp_djf_iamean_smean_e25p > 0)";"Increase in Temperature";"Infrastructure";"Decrease in frost penetration";"<ul><li>Utilities and foundations might not need to be as deep; potentially less frost heaving on roads.</li><li>Consider implications for road maintenance program.</li><li>Consider further investigation of daily minimum temperatures.</li></ul>";"This rule is kinda broken..."
"3b-i-bio";"(temp_djf_iamean_smean_e25p > temp_djf_iastddev_smean_hist) || (temp_jja_iamean_smean_e25p > temp_jja_iastddev_smean_hist)";"Considerable Increase in Temperature";"Biodiversity";"Projected summer or winter temperature change is larger than the standard deviation of historical interannual variability";"<ul><li>Species interactions are possibly disrupted.</li><li>Possible change in amount and timing of use of different parts of species' range (eg summer vs. winter areas).</li><li>Consider increasing invasion by exotic species (also expansion of range of impact of exotic species).</li><li>Possible changes in populations of pollinators; this has a ripple effect on biodiversity &amp; agriculture.</li><li>Possible change in climate related plant and animal patterns such as flowering, breeding, mating, and migrating.</li><li>Possible productivity changes.</li><li>Possible behaviour of species changes.</li><li>Possible species extinction/extirpation and/or hyperabundance.</li><li>Possible increase in incidence of human/wildlife conflict.</li><li>Possible change in winter migration patterns (location, timing); potentially, species will cease migrating.</li><li>Possible that more generalist species will be favored (decrease in biodiversity).</li></ul>";"Comparing ratio to 1 is same as inequality involving the two things you're dividing."
"3b-ii-ag";"temp_jja_iamean_smean_e25p > temp_jja_iastddev_smean_hist";"Considerable Increase in Temperature";"Agriculture";"Increase in frequency of occurrence of high temperatures";"<ul><li>Consider options for managing extreme heat and humidity:<ul><li>Adjusting practices or technologies.</li><li>Changing crops.</li></ul></li><li>Potential increase in ventilation costs or management intensity for dairy, poultry, greenhouse production.</li></ul>";
"3b-iii-infra";"rule_3b-ii-ag";"Considerable Increase in Temperature";"Infrastructure";"Asphalt performance and temperature-sensitive infrastructure components could be adversely affected";"<ul><li>Potential changes to road maintenance programs.</li><li>Potential changes to rehabilitation programs.</li><li>Potential changes to design parameters for new infrastructure.</li><li>See the <a href=""#"">PIEVC report</a> for more case studies.</li></ul>";"Report doesn't exist anywhere, broken link."
"3b-iv-land";"rule_3b-ii-ag";"Considerable Increase in Temperature";"Land Use Planning";"Possible increase in heat stress";"<ul><li>Health impacts from lower air quality (e.g. in Lower mainland, Prince George)</li><li>Public heat stress may be an issue requiring cooling centres.</li><li>Consider urban planning responses to mitigate heat island effect in cities</li></ul>";
"3c-i-hydro";"(rule_future-rain && !rule_rain) || (rule_rain && rule_snow && temp_djf_iamean_smean_e25p > 0)";"Change in Hydrologic Regime";"Hydrology";"Possible hydrologic regime transition to rainfall dominant";"Potential decline in late spring / summer flows imply possible water storage issues:<ul><li>Loss of recreational use in reservoirs/streams.</li><li>Increased need for seasonal storage.</li><li>Increased need for conservation programs</li></ul>";"Modified from original rule."
"3c-ii-hydro";"(rule_snow && !rule_future-snow) || (rule_rain && rule_snow && temp_djf_iamean_smean_e25p > 0)";"Change in Hydrologic Regime";"Hydrology";"Possible hydrologic regime transition away from snow melt dominant";"Potential decline in late spring / summer flows imply possible water storage issues:<ul><li>Loss of recreational use in reservoirs/streams.</li><li>Increased need for seasonal storage.</li><li>Increased need for conservation programs.</li><li>Possible impact on tourism economy if recreation use and/or sport fisheries are disrupted.</li></ul>";"Modified from original rule."
"3d-i-infra";"((temp_son_iamean_smean_hist + temp_son_iastddev_smean_hist) < 0) && ((temp_son_iamean_smean_hist + temp_son_iamean_smean_e75p + temp_son_iastddev_smean_hist) > 0) && ((temp_son_iamean_smean_hist + temp_son_iamean_smean_e25p - temp_son_iastddev_smean_hist) < 0) || ((temp_djf_iamean_smean_hist + temp_djf_iastddev_smean_hist) < 0) && ((temp_djf_iamean_smean_hist + temp_djf_iamean_smean_e75p + temp_djf_iastddev_smean_hist) > 0) && ((temp_djf_iamean_smean_hist + temp_djf_iamean_smean_e25p - temp_djf_iastddev_smean_hist) < 0) || ((temp_mam_iamean_smean_hist + temp_mam_iastddev_smean_hist) < 0) && ((temp_mam_iamean_smean_hist + temp_mam_iamean_smean_e75p + temp_mam_iastddev_smean_hist) > 0) && ((temp_mam_iamean_smean_hist + temp_mam_iamean_smean_e25p - temp_mam_iastddev_smean_hist) < 0)";"Increase in Freeze/Thaw Cycles";"Infrastructure";"Likely increase in frequency of freeze-thaw cycles";"<ul><li>Possible increase in fatigue and degradation of infrastructure.</li><li>Possible increase in potholes in the road.</li><li>Consider further research into daily min-max temperature change.</li></ul>";
"4a-i-ag";"rule_2a-iii-bio && (temp_jja_iamean_smean_e25p > 0)";"Increase in Hot and Dry Conditions";"Agriculture";"Increased possibility of water shortages at times of peak demand";"Consider options including:<ul><li>collaborative water management planning to develop strategy for competing water uses;</li><li>improved water conservation practices;</li><li>improved irrigation infrastructure;</li><li>improved water storage &mdash; regional infrastructure and on-site.</li></ul>";
"4a-ii-ag";"(temp_jja_iamean_smean_e25p > 0) && (prec_jja_iamean_smean_e75p < 0)";"Increase in Hot and Dry Conditions";"Agriculture";"Projected increase in hot/dry summers";"<ul><li>Possible improved potential for crop productivity.</li><li>Consider risk of plant and livestock stress; requires management measures.</li></ul>";
"4a-iii-fish";"rule_4a-i-ag";"Increase in Hot and Dry Conditions";"Fisheries";"Possible thermal stress on fish and habitat";"<ul><li>Fish die-offs possible.</li><li>Consider reassessing habitat protection/availability (review standards/riparian guidelines, regulations).</li><li>Review recreational use of habitat</li><li>Anticipate conflict with other water users (hydro, agriculture).</li><li>Review conservation status of fish species/ecosystem.</li><li>Consider more complex management and trade-offs.</li><li>Possible conflict in species management.</li><li>Possible conflict in fisheries allocations</li><li>Possile impact on tourism if sport fishery affected</li></ul>";
"4a-iv-fish";"(temp_son_iamean_smean_e25p > 0) && (prec_son_iamean_smean_e75p < 0) && (pass_djf_iamean_smean_e75p < 0)";"Increase in Hot and Dry Conditions";"Fisheries";"Problems/barriers to migratory fish due to thermal stress on fish habitat";"<ul><li>Possible spawning failure.</li><li>Potential of declined harvest/cancellation of harvest.</li><li>Possible conflict in fisheries harvest of allocations.</li><li>Consider species at risk concerns.</li></ul>";"Note: also depends on glaciers and groundwater"
"4a-v-land";"rule_4a-i-ag || rule_2b-ii-for";"Increase in Hot and Dry Conditions";"Land Use Planning";"Possible increase in dry & hot summers";"<ul><li>Local government wildfire planning required.</li><li>Summer wildfire response may result in park closures resulting in decrease in tourist economy.</li><li>Possible reduction of recreation services.</li><li>Industrial/commercial, residential and agriculture demands may exacerbate scarce summer water supplies.</li><li>Review water management engage water users reduce water usage and manage service levels.</li><li>Consider impact on tourism related to rafting, fishing, recreation at lakes.</li><li>Update Urban Forestry Management Plan.</li><li>Wildfires may increase in frequency and intensity.</li><li>Consider native species heat and drought tolerance.</li><li>Review management of invasive plants.</li><li>Consider planting of vegetation that will endure future climatic changes.</li><li>Consider tree planting to reduce heat island effects and improve streetscape.</li></ul>";"Riparian zone peak flows in a hot and dry spiel? Come on..."
"4b-i-for";"rule_snow && (pass_djf_iamean_smean_e75p < 0 || pass_mam_iamean_smean_e75p < 0) && (nffd_djf_iamean_smean_e25p > 0 || nffd_mam_iamean_smean_e25p > 0)";"Decrease in Snowpack";"Forestry";"Possible shorter snow on ground period";"<ul><li>Possible shorter winter logging season.</li><li>Possible decrease in days/weeks of likely work in the woods.</li><li>Possible increase in log stockpiling needs for mills.</li></ul>";
"4b-ii-bio";"rule_4b-i-for";"Decrease in Snowpack";"Biodiversity";"Possible decrease in snowpack";"<ul><li>Alpine, subalpine species range will possibly move up slope.</li><li>Species may become locally extinct at lower elevations.</li></ul>";
"4b-iii-land";"rule_4b-i-for";"Decrease in Snowpack";"Land Use Planning";"Possible reduced snowfall";"Consider negative impacts on key industries related to climatic changes, e.g. ski hills resorts and back country recreation.";
"5a-i-bio";"(temp_djf_iamean_smean_e25p > 0) || (temp_jja_iamean_smean_e25p > 0) || (rule_snow ? (((prec_djf_iamean_smean_e25p / 100) * prec_djf_iamean_smean_hist) > prec_djf_iastddev_smean_hist) : (((prec_ann_iamean_smean_e25p / 100) * prec_ann_iamean_smean_hist) > prec_ann_iastddev_smean_hist))";"Change in Species Range";"Biodiversity";"Possible change in species range";"<ul><li>Possible disruption of species interactions.</li><li>Possible change in amount and timing of use of different parts of species' range (eg summer vs. winter areas).</li><li>Possible increasing invasion by exotic species (also expansion of range of impact of exotic species).</li><li>Possible changes in populations of pollinators (ripple effect on biodiversity &amp; agriculture).</li><li>Possible changes in climate related plant and animal patterns such as; flowering breeding mating and migrating.</li><li>Possible productivity changes.</li><li>Possible change in behaviour of species.</li><li>Possible extinction/extirpation and/or hyperabundance.</li><li>Incidence of human/wildlife conflict may increase.</li><li>Possible change in winter migration patterns (location, timing); potentially, species will cease migrating.</li></ul>";
"5a-ii-ag";"rule_5a-i-bio";"Change in Species Range";"Agriculture";"Climate suitability range shifts";"Possibility of increased success of pests, increase in range of invasive species;<ul><li>Consider current cultivars and livestock breeds.</li><li>Production systems may need to be re-evaluated and alternatives explored.</li><li>Consider need for monitoring.</li><li>Consider response/management planning for pests diseases and weeds.</li><li>Consider options for improving resilience of agricultural production to pests diseases weeds</li></ul>Consider how to deal expeditiously with invasive species that are new to an area:<ul><li>Consider impacts of shifting species ranges and migration patterns, and  increasing wildlife activity on agricultural crop productivity and quality.</li><li>Possible increased wildlife activity and changing migration patterns of birds can increase crop damage.</li></ul>";
"5a-iii-for";"(temp_jja_iamean_smean_e25p > 0) && (prec_jja_iamean_smean_e25p > 5)";"Change in Species Range";"Forestry";"Foliar and stem rusts more likely in pine plantations";"<ul><li>Select appropriate tree species for planting.</li><li>Consider planting less pine in these locations.</li></ul>";
"5b-i-for";"((rule_snow && (dg05_jja_iamean_smean_e25p > 0) && (prec_jja_iamean_smean_e25p > 5)) || (rule_shm < 60 && ((dg05_jja_iamean_smean_e75p / dg05_jja_iamean_smean_hist) < 0.05) && (prec_jja_iamean_smean_e25p > 0)))";"Possible Change in Productivity";"Forestry";"Forest productivity may increase";"<ul><li>Possible forest productivity increase.</li><li>Potential growth of yield to timber supply.</li></ul>";"Does not take into account losses due to drought events, disturbances."
"5b-ii-ag";"( ((dg05_jja_iamean_smean_e25p > 0)?1:0) + ((nffd_mam_iamean_smean_e25p  > 0)?1:0) + ((nffd_jja_iamean_smean_e25p > 0)?1:0) + ((nffd_son_iamean_smean_e25p > 0)?1:0) ) >= 3";"Possible Change in Productivity";"Agriculture";"Possible increase in growing season";"<ul><li>May be opportunities for increased productivity.</li><li>Possible longer production season.</li><li>Consider new crops and varieties that can be grown.</li><li>Possible range of southerly crops may expand; but consider effects of potential increased spring rainfall.</li></ul>";
